SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
-1,GCGMM,0.089,20.267,0.579,0.672,0.794,169.655,32.290,3.623,-0.742,0.092,13.084,0.605,0.632,0.800,120.871,25.740,3.692,-0.381,0.091,14.618,0.605,0.612,0.790,133.047,26.022,3.555,-0.090,0.091,15.732,0.598,0.584,0.788,134.701,24.355,3.544,0.184
-1,GCGMM,0.158,25.284,0.600,0.509,0.739,162.931,29.071,9.440,-1.604,0.158,20.250,0.602,0.575,0.751,139.973,30.799,5.512,-0.831,0.159,24.675,0.608,0.531,0.742,138.135,25.846,9.063,-1.540,0.160,23.569,0.612,0.507,0.736,149.508,25.931,11.157,-1.623
-1,GCGMM,0.111,52.669,0.345,0.317,0.397,143.599,49.860,2.690,-0.293,0.111,44.007,0.340,0.316,0.405,122.938,45.809,2.647,-0.035,0.111,40.159,0.343,0.316,0.407,123.372,45.769,2.878,-0.033,0.111,40.333,0.340,0.312,0.412,122.511,48.768,2.745,-0.146
-1,GCGMM,0.102,13.820,0.658,0.622,0.786,101.601,21.759,7.658,-0.516,0.094,15.359,0.603,0.728,0.808,138.840,33.753,4.468,-0.463,0.094,18.973,0.593,0.735,0.795,141.254,33.016,4.948,-0.631,0.094,18.750,0.595,0.733,0.791,128.683,31.442,4.699,-0.560
-1,GCGMM,0.121,30.800,0.446,0.497,0.594,139.014,36.575,3.413,-0.244,0.121,30.440,0.445,0.510,0.599,135.574,44.204,2.581,-0.143,0.122,30.966,0.450,0.491,0.592,136.672,40.395,3.230,-0.427,0.122,31.742,0.443,0.484,0.589,138.261,38.227,3.326,-0.447
-1,GCGMM,0.066,93.099,0.272,0.101,0.256,200.177,18.944,5.497,-0.848,0.064,88.440,0.271,0.108,0.261,191.846,26.808,3.305,-0.456,0.064,92.355,0.257,0.111,0.265,205.801,27.603,3.884,-0.726,0.065,89.506,0.271,0.110,0.262,206.689,25.626,5.112,-0.925
-1,GCGMM,0.098,50.023,0.394,0.353,0.505,145.280,28.307,3.670,-0.711,0.097,49.635,0.393,0.382,0.512,159.285,38.722,2.473,-0.141,0.097,52.525,0.395,0.372,0.506,168.724,36.616,2.971,-0.394,0.097,52.494,0.391,0.364,0.501,168.904,35.528,3.116,-0.511
1,GC,0.083,41.583,0.386,0.411,0.538,145.976,45.290,2.762,-0.710,0.082,39.187,0.380,0.431,0.502,130.615,45.516,2.668,-0.164,0.082,36.797,0.384,0.407,0.511,121.946,32.080,3.594,-0.123,0.082,42.995,0.382,0.414,0.491,133.633,31.616,3.582,-0.025
1,GC,0.043,44.229,0.274,0.293,0.436,127.022,48.011,2.409,0.388,0.043,46.592,0.279,0.297,0.401,126.513,50.441,2.331,0.299,0.043,51.072,0.287,0.292,0.379,131.921,46.138,2.586,0.155,0.044,52.510,0.290,0.276,0.373,131.430,44.773,2.735,0.142
1,GC,0.066,57.971,0.407,0.299,0.497,148.473,17.210,13.304,-0.915,0.062,43.303,0.375,0.414,0.550,142.984,47.315,2.257,-0.341,0.063,48.636,0.382,0.399,0.509,139.382,33.544,3.339,-0.279,0.063,52.771,0.380,0.394,0.491,148.884,32.027,3.612,-0.122
