SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
-1,GCGMM,-0.625,-0.237,-0.719,-0.424,-0.644,-0.768,1.439,-0.744,0.696,-0.603,-0.279,-0.649,-0.505,-0.337,-0.271,0.785,-0.283,0.072,-0.596,-0.130,-0.573,-0.614,-0.428,-0.161,0.293,0.335,0.569,-0.605,-0.014,-0.623,-0.504,-0.402,0.285,0.986,-0.102,-0.155
-1,GCGMM,-0.831,1.047,0.695,-1.194,0.003,1.883,-1.248,2.154,-1.536,-0.954,0.789,0.186,-0.618,0.192,2.064,-0.385,-1.559,-0.463,-0.880,1.018,0.468,-1.015,0.079,2.144,-1.140,-0.355,-1.292,-0.900,1.116,0.509,-1.051,0.031,2.153,-1.597,0.090,-1.086
-1,GCGMM,-1.330,3.184,-2.684,-2.224,-2.927,0.339,1.013,-0.670,0.752,-1.341,2.142,-2.484,-2.213,-2.681,-1.099,2.698,-1.051,1.746,-1.331,2.588,-2.548,-2.211,-2.751,-0.851,2.616,-0.815,1.754,-1.334,2.855,-2.710,-2.227,-2.886,-0.843,2.112,-0.710,1.647
-1,GCGMM,0.636,-0.718,1.267,0.870,1.248,0.788,-0.871,-0.343,0.032,0.639,-0.833,1.350,0.972,1.336,0.485,-0.362,-0.475,-0.559,0.644,-0.829,1.372,0.943,1.345,0.530,-0.446,-0.317,-0.605,0.639,-0.889,1.336,0.899,1.338,0.122,-0.781,-0.340,-0.235
-1,GCGMM,-1.185,1.048,-0.938,-0.200,-0.646,0.017,-0.176,1.032,-0.578,-1.175,0.960,-1.042,-0.232,-0.804,-0.762,-0.546,0.780,-0.429,-1.177,0.511,-1.109,-0.102,-0.677,-0.511,0.336,0.261,-0.296,-1.160,0.639,-1.019,-0.219,-0.786,-0.395,0.003,0.996,-0.322
-1,GCGMM,0.209,-0.849,0.867,1.035,0.918,-0.872,1.376,-0.629,-0.315,0.192,-0.925,0.859,0.940,0.786,-0.854,1.231,-0.287,0.034,0.203,-1.036,0.953,0.786,0.853,-1.177,0.679,-0.197,-0.309,0.191,-0.823,0.909,0.946,0.825,-0.568,1.240,-0.181,-0.750
-1,GCGMM,-0.145,-0.293,0.046,0.976,0.541,0.144,0.270,-0.501,-0.487,-0.135,-0.419,0.085,0.849,0.493,-0.128,-0.054,-0.626,-0.377,-0.135,-0.270,0.134,0.785,0.536,-0.244,-0.299,-0.452,-0.551,-0.140,-0.562,0.082,1.168,0.647,-0.447,1.694,-0.787,-0.806
-1,GCGMM,-0.597,0.023,-0.436,0.266,0.042,-0.313,0.258,-0.409,-0.346,-0.559,0.327,-0.210,-0.057,-0.049,-0.206,-0.544,0.887,-0.992,-0.560,0.155,-0.181,-0.041,-0.020,-0.546,-0.359,0.365,-0.950,-0.564,0.066,-0.243,0.054,-0.000,-0.579,-0.154,0.351,-1.166
-1,GCGMM,-0.312,-1.346,1.607,1.950,1.948,0.700,-0.286,-0.350,-0.343,-0.224,-1.707,1.959,1.435,1.960,-0.919,-1.763,0.820,-0.312,-0.252,-1.697,1.889,1.402,1.934,-0.551,-1.315,0.119,0.560,-0.253,-1.690,1.813,1.252,1.943,-0.553,-1.354,-0.037,1.271
-1,GCGMM,1.145,-1.050,1.824,0.764,1.535,0.465,-0.649,3.096,-1.720,1.145,-1.271,1.928,1.037,1.584,-0.160,-1.046,3.346,-1.454,1.158,-1.097,1.922,0.824,1.568,-0.350,-1.338,5.383,-3.077,1.172,-1.213,1.952,0.692,1.547,0.047,-1.160,6.080,-3.062
