SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
1,GCGMM,0.094,37.956,0.376,0.449,0.465,113.671,37.020,3.024,-0.160,0.093,45.097,0.369,0.481,0.469,119.405,39.874,2.864,0.047,0.093,44.875,0.370,0.470,0.470,132.307,42.077,2.777,-0.167,0.093,47.421,0.371,0.466,0.470,138.129,42.960,2.834,-0.320
1,GCGMM,0.079,50.151,0.432,0.424,0.580,179.400,27.403,7.678,-1.567,0.079,51.025,0.441,0.439,0.581,179.481,32.053,4.054,-0.862,0.079,54.844,0.440,0.418,0.571,185.253,28.894,4.122,-0.790,0.079,53.239,0.438,0.424,0.566,181.790,28.971,4.156,-0.809
1,GCGMM,0.172,20.262,0.556,0.580,0.646,115.469,30.737,3.898,0.729,0.171,21.160,0.532,0.621,0.655,104.245,29.944,3.814,0.417,0.171,23.530,0.535,0.624,0.650,110.498,29.825,4.025,0.349,0.171,24.287,0.541,0.604,0.649,113.206,29.204,4.243,0.396
1,GCGMM,0.213,26.680,0.539,0.589,0.648,160.956,30.828,4.768,-1.029,0.212,23.384,0.530,0.633,0.649,141.163,31.701,3.671,-0.624,0.212,26.336,0.535,0.618,0.650,157.956,32.640,4.200,-0.871,0.213,27.761,0.543,0.599,0.651,160.911,31.101,4.816,-1.081
1,GCGMM,0.070,47.074,0.472,0.376,0.595,180.800,30.051,4.182,-0.942,0.068,41.822,0.449,0.441,0.599,162.943,35.364,3.003,-0.547,0.068,46.870,0.450,0.415,0.582,167.297,30.197,3.339,-0.428,0.068,48.258,0.453,0.410,0.574,167.252,27.863,3.421,-0.264
1,GCGMM,0.133,46.982,0.444,0.418,0.566,172.101,39.012,4.571,-1.292,0.133,46.919,0.462,0.413,0.566,166.425,38.102,3.507,-0.904,0.133,47.698,0.464,0.391,0.559,160.836,34.136,3.952,-1.012,0.131,37.030,0.426,0.505,0.543,126.255,39.862,2.807,-0.316
1,GCGMM,0.135,39.977,0.519,0.351,0.629,149.647,24.968,7.275,-1.863,0.131,37.814,0.491,0.435,0.634,173.805,31.584,3.373,-0.769,0.132,40.781,0.504,0.378,0.632,183.648,27.405,3.437,-0.779,0.133,42.693,0.509,0.351,0.631,192.751,25.331,4.088,-0.831
1,GCGMM,0.189,24.433,0.572,0.631,0.714,150.500,31.250,3.927,-0.564,0.190,28.014,0.585,0.610,0.722,168.576,33.502,3.887,-0.799,0.190,26.159,0.594,0.585,0.719,156.862,31.379,3.874,-0.649,0.190,29.772,0.592,0.573,0.716,166.876,29.916,4.085,-0.766
1,GCGMM,0.062,46.215,0.408,0.470,0.592,162.898,45.629,2.659,-0.728,0.062,48.696,0.412,0.479,0.592,164.737,49.945,2.512,-0.743,0.062,44.578,0.413,0.465,0.599,165.898,45.979,2.484,-0.651,0.061,41.595,0.408,0.473,0.598,158.368,42.058,2.446,-0.494
1,GCGMM,0.224,22.700,0.534,0.553,0.625,117.829,25.026,5.125,-0.473,0.224,29.217,0.543,0.527,0.623,133.000,27.132,5.081,-1.097,0.225,29.546,0.549,0.502,0.624,133.637,24.933,6.766,-1.362,0.225,26.643,0.556,0.483,0.626,112.933,21.390,6.691,-1.316
