SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
-1,GCGMM,-0.394,-0.380,-0.476,-0.322,-0.491,-1.120,1.334,-0.686,1.042,-0.351,-0.383,-0.429,-0.440,-0.213,-0.353,0.700,-0.078,-0.018,-0.338,-0.223,-0.346,-0.539,-0.295,-0.118,0.202,0.303,0.512,-0.357,-0.161,-0.406,-0.416,-0.262,0.282,0.874,-0.071,-0.145
-1,GCGMM,-0.699,0.719,0.703,-0.992,0.043,2.220,-1.115,1.969,-1.938,-0.868,0.583,0.298,-0.537,0.224,2.585,-0.442,-1.276,-0.708,-0.759,0.797,0.551,-0.881,0.129,2.447,-1.203,-0.244,-1.252,-0.793,0.816,0.576,-0.879,0.097,2.512,-1.597,0.066,-0.969
-1,GCGMM,-1.440,2.551,-2.115,-1.888,-2.381,0.275,0.946,-0.619,1.117,-1.439,1.809,-2.024,-1.911,-2.153,-1.395,2.566,-0.799,2.143,-1.425,2.191,-2.046,-1.898,-2.233,-0.884,2.479,-0.609,1.635,-1.437,2.321,-2.215,-1.876,-2.314,-1.064,1.952,-0.505,1.448
-1,GCGMM,1.479,-0.793,1.180,0.804,1.074,0.841,-0.772,-0.319,0.155,1.481,-0.886,1.309,0.833,1.171,0.598,-0.419,-0.259,-0.832,1.493,-0.843,1.329,0.786,1.186,0.651,-0.522,-0.214,-0.601,1.486,-0.919,1.293,0.773,1.176,0.087,-0.817,-0.241,-0.216
-1,GCGMM,-1.226,0.720,-0.659,-0.127,-0.493,-0.131,-0.138,0.941,-0.659,-1.193,0.739,-0.770,-0.205,-0.599,-0.970,-0.598,0.921,-0.665,-1.198,0.347,-0.807,-0.104,-0.502,-0.506,0.244,0.244,-0.308,-1.179,0.403,-0.749,-0.174,-0.579,-0.530,-0.067,0.714,-0.293
-1,GCGMM,0.846,-0.905,0.847,0.947,0.801,-1.251,1.276,-0.581,-0.308,0.821,-0.969,0.882,0.806,0.716,-1.086,1.134,-0.082,-0.067,0.842,-1.026,0.968,0.652,0.775,-1.247,0.581,-0.119,-0.320,0.823,-0.862,0.923,0.813,0.753,-0.737,1.118,-0.127,-0.672
-1,GCGMM,0.319,-0.429,0.162,0.896,0.489,0.029,0.268,-0.464,-0.538,0.339,-0.511,0.209,0.727,0.473,-0.173,-0.119,-0.400,-0.598,0.342,-0.346,0.263,0.651,0.511,-0.210,-0.378,-0.321,-0.549,0.332,-0.635,0.205,1.000,0.605,-0.592,1.551,-0.560,-0.721
-1,GCGMM,-0.352,-0.158,-0.239,0.279,0.076,-0.546,0.257,-0.379,-0.350,-0.286,0.165,-0.047,-0.053,0.025,-0.271,-0.597,1.021,-1.392,-0.286,0.031,-0.008,-0.051,0.046,-0.545,-0.437,0.327,-0.928,-0.295,-0.092,-0.076,0.056,0.071,-0.749,-0.217,0.253,-1.039
-1,GCGMM,0.071,-1.330,1.464,1.743,1.653,0.730,-0.238,-0.325,-0.345,0.208,-1.677,1.838,1.232,1.688,-1.168,-1.785,0.958,-0.514,0.170,-1.614,1.774,1.177,1.678,-0.550,-1.373,0.132,0.504,0.165,-1.612,1.706,1.072,1.677,-0.718,-1.365,-0.024,1.116
-1,GCGMM,2.236,-1.077,1.645,0.712,1.312,0.433,-0.569,2.832,-2.184,2.225,-1.282,1.811,0.889,1.376,-0.214,-1.086,3.331,-1.988,2.252,-1.081,1.803,0.685,1.372,-0.327,-1.396,4.306,-2.944,2.276,-1.199,1.827,0.597,1.349,-0.003,-1.180,4.348,-2.716
-1,GCGMM,0.769,0.307,-0.634,-0.505,-0.840,-0.420,1.568,-0.832,0.613,0.792,0.027,-0.661,-0.664,-0.822,-1.065,0.988,-0.403,0.618,0.777,-0.261,-0.626,-0.628,-0.774,-0.975,1.185,-0.381,0.639,0.777,-0.317,-0.666,-0.612,-0.701,-1.307,1.502,-0.483,0.415
-1,GCGMM,0.488,-1.656,2.164,1.424,1.608,-2.275,-1.321,1.865,0.138,0.270,-1.552,1.821,1.805,1.738,-0.271,-0.678,1.970,-0.782,0.249,-1.383,1.672,1.927,1.713,-0.191,-0.467,1.187,-0.781,0.253,-1.453,1.671,1.996,1.693,-1.009,-0.533,0.639,-0.462
-1,GCGMM,1.084,-0.798,0.267,0.635,0.398,-0.623,0.202,-0.440,0.719,1.099,-0.721,0.331,0.496,0.412,-0.434,0.766,-0.490,0.265,1.104,-0.748,0.352,0.439,0.413,-0.391,0.489,-0.115,-0.296,1.101,-0.769,0.281,0.451,0.420,-0.546,0.264,-0.149,-0.223
-1,GCGMM,-0.650,2.349,-1.285,-1.866,-1.726,2.078,-1.611,0.692,-0.571,-0.639,2.475,-1.312,-1.913,-1.738,2.378,-1.638,0.454,-0.759,-0.654,2.502,-1.413,-1.884,-1.677,2.639,-1.169,0.381,-1.007,-0.645,2.271,-1.303,-1.866,-1.648,2.760,-1.216,0.876,-1.237
-1,GCGMM,0.356,0.173,-0.190,-0.274,-0.159,-0.346,-0.648,-0.300,-0.277,0.368,0.337,-0.163,-0.269,-0.144,0.751,0.008,-0.631,0.270,0.360,0.393,-0.144,-0.286,-0.141,1.014,-0.001,-0.311,-0.218,0.356,0.323,-0.204,-0.287,-0.135,0.935,-0.053,-0.270,-0.358
-1,GCGMM,-1.020,-0.841,-0.715,-0.361,-0.769,-1.765,2.988,-1.009,2.143,-0.951,-0.985,-0.650,-0.582,-0.271,-1.274,1.277,0.383,-0.258,-0.921,-0.737,-0.514,-0.750,-0.423,-1.062,0.372,0.815,1.121,-0.951,-0.566,-0.574,-0.524,-0.367,-0.263,1.648,0.095,0.032
-1,GCGMM,-0.128,-1.175,1.130,1.895,1.675,2.165,0.279,-1.372,-0.576,0.179,-1.737,1.846,0.959,1.664,-1.597,-2.314,0.475,-0.386,0.131,-1.724,1.822,0.818,1.662,-0.722,-1.806,-0.373,1.118,0.124,-1.687,1.723,0.630,1.669,-0.579,-1.762,-0.341,1.869
-1,GCGMM,1.622,-1.514,0.605,1.305,0.809,-0.827,0.829,-0.543,1.453,1.638,-1.501,0.696,1.061,0.822,-1.307,1.324,-0.386,0.261,1.653,-1.590,0.718,0.975,0.822,-1.428,0.850,0.030,-0.354,1.650,-1.575,0.638,0.995,0.830,-1.638,0.498,-0.061,-0.124
-1,GCGMM,3.188,-0.761,1.362,0.323,1.151,1.908,-0.160,3.359,-3.449,3.290,-1.136,1.806,0.390,1.179,-0.183,-1.309,4.072,-2.645,3.343,-0.917,1.874,0.008,1.186,-0.402,-1.902,6.005,-4.122,3.378,-1.061,1.912,-0.165,1.163,0.546,-1.532,6.368,-3.944
-1,GCGMM,3.763,-0.571,1.192,0.089,1.053,2.800,0.088,3.678,-4.214,3.934,-1.047,1.803,0.088,1.060,-0.164,-1.443,4.520,-3.042,4.003,-0.817,1.917,-0.402,1.074,-0.447,-2.208,7.032,-4.834,4.044,-0.977,1.963,-0.626,1.049,0.877,-1.745,7.589,-4.686
-1,GCGMM,1.314,-1.328,1.455,0.992,1.078,-2.388,2.172,-0.686,-0.104,1.250,-1.376,1.480,0.876,0.931,-1.897,2.248,0.200,0.405,1.286,-1.631,1.594,0.653,1.010,-2.168,1.433,0.061,-0.117,1.259,-1.063,1.561,0.646,0.884,-0.865,0.732,0.257,-0.628
-1,GCGMM,-0.978,0.122,-0.460,0.123,-0.064,-0.513,0.281,-0.353,-0.816,-0.891,0.552,-0.212,-0.293,-0.144,-0.199,-1.191,1.681,-2.115,-0.892,0.371,-0.166,-0.265,-0.114,-0.612,-0.841,0.519,-1.203,-0.904,0.203,-0.231,-0.116,-0.082,-0.838,-0.426,0.428,-1.395
-1,GCGMM,-1.234,3.613,-1.921,-2.791,-2.636,3.486,-2.170,1.268,-0.742,-1.224,3.718,-1.980,-2.868,-2.664,3.323,-2.595,1.084,-1.357,-1.244,3.728,-2.151,-2.813,-2.570,3.584,-1.847,0.783,-1.465,-1.227,3.403,-1.941,-2.784,-2.528,3.821,-1.891,1.542,-1.748
1,GCGMM,-0.651,0.122,-0.382,-0.197,-0.245,-0.847,-0.289,-0.288,-0.066,-0.647,0.253,-0.444,-0.278,-0.412,0.005,-0.107,-0.315,0.663,-0.656,-0.014,-0.429,-0.260,-0.232,-0.463,-0.739,-0.309,0.833,-0.668,0.025,-0.457,-0.162,-0.299,-0.115,-0.312,-0.593,1.252
1,GCGMM,-1.274,0.792,-1.441,-1.178,-1.123,-0.473,1.287,-1.039,1.464,-1.223,1.253,-1.318,-1.296,-1.467,0.101,0.831,-0.388,1.080,-1.240,1.232,-1.300,-1.269,-1.516,0.070,0.639,-0.271,0.688,-1.221,1.136,-1.272,-1.312,-1.437,-0.280,0.575,-0.416,0.980
